epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.64785,1.08492,4.37366,1.46916,0.02532,0.81185,0.12573,0.08305,0.82966,3.32801,1.25593,0.000126645,0.000126645,0.000126645
2,12.2801,0.93869,3.45236,1.35565,0.20389,0.50297,0.2671,0.19527,0.88148,2.53776,1.33168,0.000253295,0.000253295,0.000253295
3,17.8464,0.94515,3.06243,1.35549,0.42129,0.4988,0.42454,0.31131,0.92829,2.16088,1.35623,0.000378252,0.000378252,0.000378252
4,23.2937,0.94069,2.81394,1.34099,0.38897,0.57758,0.50278,0.3618,0.89169,1.97087,1.34856,0.000377377,0.000377377,0.000377377
5,28.6613,0.9163,2.57892,1.31679,0.48067,0.61878,0.56877,0.4322,0.82383,1.68029,1.24867,0.000374836,0.000374836,0.000374836
6,34.0913,0.88274,2.3614,1.26242,0.58465,0.69272,0.66106,0.52258,0.79716,1.46924,1.19408,0.000372295,0.000372295,0.000372295
7,39.4712,0.86015,2.24437,1.25081,0.63884,0.70944,0.73739,0.5766,0.76256,1.36488,1.20211,0.000369754,0.000369754,0.000369754
8,44.8376,0.86526,2.14608,1.24621,0.58247,0.67985,0.66481,0.51923,0.82379,1.45872,1.20563,0.000367213,0.000367213,0.000367213
9,50.2357,0.85211,2.03017,1.22208,0.70049,0.78948,0.8452,0.68558,0.75284,1.13326,1.15367,0.000364672,0.000364672,0.000364672
10,55.7314,0.8425,1.92768,1.22494,0.74999,0.74627,0.80897,0.64213,0.74485,1.15839,1.1629,0.000362131,0.000362131,0.000362131
11,61.3318,0.80899,1.81139,1.19709,0.83183,0.79144,0.88691,0.72146,0.75327,0.96187,1.15302,0.00035959,0.00035959,0.00035959
12,66.7325,0.81292,1.7196,1.20263,0.80528,0.81415,0.8959,0.73556,0.71355,0.94147,1.1222,0.000357049,0.000357049,0.000357049
13,72.0033,0.82263,1.67883,1.20797,0.81201,0.85009,0.91237,0.74546,0.75202,0.90965,1.14986,0.000354508,0.000354508,0.000354508
14,77.3245,0.81793,1.61406,1.1989,0.81736,0.86045,0.93315,0.75899,0.72472,0.872,1.11436,0.000351967,0.000351967,0.000351967
15,82.5656,0.78418,1.54377,1.16923,0.84841,0.84747,0.9426,0.7691,0.76699,0.81893,1.11359,0.000349426,0.000349426,0.000349426
16,87.8964,0.78413,1.46153,1.17242,0.86007,0.86745,0.94362,0.75896,0.74742,0.84975,1.12576,0.000346885,0.000346885,0.000346885
17,93.3171,0.79136,1.47899,1.18231,0.83773,0.89316,0.92554,0.76788,0.72576,0.77144,1.10306,0.000344344,0.000344344,0.000344344
18,98.6708,0.76519,1.38829,1.15899,0.86702,0.88209,0.94791,0.76827,0.76782,0.81398,1.14173,0.000341803,0.000341803,0.000341803
19,103.953,0.75939,1.32938,1.15618,0.87878,0.90245,0.95887,0.78676,0.72521,0.71533,1.11007,0.000339262,0.000339262,0.000339262
20,109.261,0.76516,1.29871,1.15342,0.87479,0.90154,0.95827,0.79615,0.72429,0.69374,1.09212,0.000336721,0.000336721,0.000336721
21,114.562,0.74137,1.24337,1.14518,0.8777,0.9263,0.96687,0.80414,0.71441,0.6643,1.09733,0.00033418,0.00033418,0.00033418
22,119.919,0.75857,1.24968,1.148,0.94076,0.91248,0.98578,0.81947,0.7183,0.64713,1.10043,0.000331639,0.000331639,0.000331639
23,125.222,0.74514,1.19605,1.1361,0.89917,0.91549,0.97377,0.80435,0.71044,0.64311,1.10471,0.000329098,0.000329098,0.000329098
24,130.583,0.74471,1.1837,1.14517,0.90389,0.94266,0.95659,0.79531,0.71525,0.6378,1.08518,0.000326557,0.000326557,0.000326557
25,135.957,0.74511,1.16044,1.13562,0.90932,0.9194,0.97122,0.79192,0.73973,0.63981,1.10455,0.000324016,0.000324016,0.000324016
26,141.201,0.73335,1.12897,1.13078,0.93055,0.96507,0.98352,0.8165,0.69604,0.55462,1.08587,0.000321475,0.000321475,0.000321475
27,146.51,0.7264,1.08036,1.12301,0.93088,0.92772,0.97548,0.80809,0.70512,0.59272,1.09587,0.000318934,0.000318934,0.000318934
28,151.723,0.71911,1.07308,1.1344,0.94041,0.92595,0.97398,0.80569,0.72623,0.59826,1.09185,0.000316393,0.000316393,0.000316393
29,157.036,0.73433,1.03971,1.1197,0.96814,0.93557,0.98427,0.81707,0.72265,0.53859,1.10496,0.000313852,0.000313852,0.000313852
30,162.365,0.73897,1.03649,1.13263,0.9725,0.93876,0.98604,0.82067,0.72413,0.54868,1.1096,0.000311311,0.000311311,0.000311311
31,167.608,0.69705,1.00747,1.10082,0.96975,0.97023,0.98955,0.82415,0.693,0.50221,1.0974,0.00030877,0.00030877,0.00030877
32,172.986,0.70927,1.01739,1.11255,0.94754,0.93714,0.98638,0.82977,0.69024,0.53323,1.07602,0.000306229,0.000306229,0.000306229
33,178.364,0.70195,1.037,1.11141,0.93285,0.93283,0.97476,0.8084,0.72512,0.58843,1.10134,0.000303688,0.000303688,0.000303688
34,183.647,0.71183,0.97067,1.11043,0.96377,0.95171,0.98863,0.82277,0.6946,0.49847,1.06901,0.000301147,0.000301147,0.000301147
35,188.867,0.68636,0.95096,1.10406,0.97355,0.9438,0.98674,0.82791,0.69469,0.49597,1.07989,0.000298606,0.000298606,0.000298606
36,194.107,0.70257,0.95703,1.08902,0.95347,0.93759,0.98164,0.81494,0.69545,0.51765,1.0832,0.000296065,0.000296065,0.000296065
37,199.343,0.68533,0.93134,1.09478,0.9616,0.95959,0.99,0.8287,0.68784,0.49258,1.07483,0.000293524,0.000293524,0.000293524
38,204.664,0.70758,0.93568,1.10695,0.93967,0.94975,0.98464,0.8094,0.71889,0.53424,1.10672,0.000290983,0.000290983,0.000290983
39,209.936,0.68863,0.90092,1.09221,0.96828,0.96519,0.99028,0.82715,0.69771,0.47353,1.07904,0.000288442,0.000288442,0.000288442
40,215.161,0.68994,0.91265,1.0931,0.96803,0.97233,0.98892,0.82161,0.68138,0.47024,1.08399,0.000285901,0.000285901,0.000285901
41,220.442,0.67171,0.88909,1.08865,0.94841,0.96644,0.98674,0.82709,0.68942,0.47754,1.07068,0.00028336,0.00028336,0.00028336
42,225.694,0.69631,0.88304,1.09654,0.96795,0.95817,0.98995,0.82862,0.70134,0.46092,1.09021,0.000280819,0.000280819,0.000280819
43,230.997,0.66389,0.84866,1.08515,0.9577,0.95929,0.99039,0.83016,0.69118,0.46276,1.08885,0.000278278,0.000278278,0.000278278
44,236.403,0.66328,0.81107,1.08675,0.96692,0.96856,0.99148,0.80975,0.75003,0.45965,1.11192,0.000275737,0.000275737,0.000275737
45,241.661,0.6809,0.84805,1.08537,0.96584,0.96246,0.98676,0.8259,0.6964,0.48416,1.09041,0.000273196,0.000273196,0.000273196
46,246.898,0.6831,0.83599,1.09645,0.96158,0.9582,0.99265,0.84131,0.68721,0.44388,1.06673,0.000270655,0.000270655,0.000270655
47,252.147,0.67882,0.86176,1.08744,0.95407,0.96344,0.99,0.83653,0.685,0.46353,1.07215,0.000268114,0.000268114,0.000268114
48,257.505,0.65231,0.8205,1.07333,0.95981,0.94224,0.98438,0.83627,0.66263,0.467,1.04547,0.000265573,0.000265573,0.000265573
49,262.799,0.64563,0.79509,1.08287,0.97185,0.97857,0.99432,0.84716,0.6571,0.40305,1.05024,0.000263032,0.000263032,0.000263032
50,268.048,0.64843,0.81687,1.07911,0.9651,0.96321,0.98428,0.82938,0.67928,0.44592,1.05736,0.000260491,0.000260491,0.000260491
51,273.261,0.65652,0.75649,1.06835,0.96377,0.95151,0.98998,0.8383,0.67385,0.43898,1.05991,0.00025795,0.00025795,0.00025795
52,278.472,0.63405,0.7363,1.06626,0.97258,0.96647,0.992,0.83648,0.6809,0.42188,1.07268,0.000255409,0.000255409,0.000255409
53,283.688,0.64166,0.75485,1.06443,0.96779,0.95995,0.98835,0.83965,0.68033,0.42378,1.07429,0.000252868,0.000252868,0.000252868
54,288.969,0.65257,0.76174,1.0709,0.97338,0.96926,0.98839,0.83865,0.66439,0.41488,1.06417,0.000250327,0.000250327,0.000250327
55,294.142,0.64302,0.77318,1.08734,0.96003,0.95341,0.98277,0.82525,0.68098,0.45327,1.07228,0.000247786,0.000247786,0.000247786
56,299.475,0.6259,0.71339,1.05165,0.9514,0.95161,0.98034,0.82532,0.68423,0.45225,1.0668,0.000245245,0.000245245,0.000245245
