x          y          z          psi        time
0.0        0.0        0.0        0.0        1754438895.15167
0.0        0.0        0.0        0.0        1754438895.15167
0.0        0.0        0.0        0.0        1754438895.15167
0.0        0.0        0.0        0.0        1754438895.15167
0.0        0.0        0.0        0.0        1754438895.15167
0.0        0.0        0.0        0.0        1754438895.15167
0.0        0.0        0.0        0.0        1754438895.15167
0.0        0.0        0.0        0.0        1754438895.15167
0.0        0.0        0.0        0.0        1754438895.15167
0.0        0.0        0.0        0.0        1754438895.15167
0.0        0.0        0.0        0.0        1754438895.15167
0.0        0.0        0.0        0.0        1754438895.1615357
0.0        0.0        0.0        0.0        1754438895.1615357
0.0        0.0        0.0        0.0        1754438895.1615357
0.0        0.0        0.0        0.0        1754438895.1615357
0.0        0.0        0.0        0.0        1754438895.1615357
0.0        0.0        0.0        0.0        1754438895.1615357
0.0        0.0        0.0        0.0        1754438895.1615357
0.0        0.0        0.0        0.0        1754438895.1615357
0.0        0.0        0.0        0.0        1754438895.1615357
0.0        0.0        0.0        0.0        1754438895.1615357
0.0        0.0        0.0        0.0        1754438895.1615357
0.0        0.0        0.0        0.0        1754438895.1615357
0.0        0.0        0.0        0.0        1754438895.1615357
0.0        0.0        0.0        0.0        1754438895.1615357
0.0        0.0        0.0        0.0        1754438895.1715446
0.0        0.0        0.0        0.0        1754438895.1715446
0.0        0.0        0.0        0.0        1754438895.1748183
0.0        0.0        0.0        0.0        1754438895.1759007
0.0        0.0        0.0        0.0        1754438895.1759007
0.0        0.0        0.0        0.0        1754438895.1759007
0.0        0.0        0.0        0.0        1754438895.1759007
0.0        0.0        0.0        0.0        1754438895.1794972
0.0        0.0        0.0        0.0        1754438895.1794972
0.0        0.0        0.0        0.0        1754438895.181567
0.0        0.0        0.0        0.0        1754438895.181567
0.0        0.0        0.0        0.0        1754438895.181567
0.0        0.0        0.0        0.0        1754438895.181567
0.0        0.0        0.0        0.0        1754438895.181567
0.0        0.0        0.0        0.0        1754438895.181567
0.0        0.0        0.0        0.0        1754438895.181567
0.0        0.0        0.0        0.0        1754438895.181567
0.0        0.0        0.0        0.0        1754438895.196903
0.0        0.0        0.0        0.0        1754438895.196903
0.0        0.0        0.0        0.0        1754438895.196903
