x          y          z          psi        time
0.0        0.0        0.0        0.0        1754437676.4879258
0.0        0.0        0.0        0.0        1754437676.490923
0.0        0.0        0.0        0.0        1754437676.4919279
0.0        0.0        0.0        0.0        1754437676.4939258
0.0        0.0        0.0        0.0        1754437676.4949245
0.0        0.0        0.0        0.0        1754437676.4969418
0.0        0.0        0.0        0.0        1754437676.5029747
0.0        0.0        0.0        0.0        1754437676.5069728
0.0        0.0        0.0        0.0        1754437676.5079253
0.0        0.0        0.0        0.0        1754437676.5089252
0.0        0.0        0.0        0.0        1754437676.5109289
0.0        0.0        0.0        0.0        1754437676.5119524
0.0        0.0        0.0        0.0        1754437676.514968
0.0        0.0        0.0        0.0        1754437676.5219781
0.0        0.0        0.0        0.0        1754437676.5239325
0.0        0.0        0.0        0.0        1754437676.5249295
0.0        0.0        0.0        0.0        1754437676.525921
0.0        0.0        0.0        0.0        1754437676.525921
0.0        0.0        0.0        0.0        1754437676.5279267
0.0        0.0        0.0        0.0        1754437676.5294564
0.0        0.0        0.0        0.0        1754437676.5304744
0.0        0.0        0.0        0.0        1754437676.5375733
0.0        0.0        0.0        0.0        1754437676.5395124
0.0        0.0        0.0        0.0        1754437676.541473
0.0        0.0        0.0        0.0        1754437676.5424988
0.0        0.0        0.0        0.0        1754437676.543481
0.0        0.0        0.0        0.0        1754437676.545472
0.0        0.0        0.0        0.0        1754437676.5465055
0.0        0.0        0.0        0.0        1754437676.5465055
0.0        0.0        0.0        0.0        1754437676.554486
0.0        0.0        0.0        0.0        1754437676.5564804
0.0        0.0        0.0        0.0        1754437676.5585165
0.0        0.0        0.0        0.0        1754437676.561479
0.0        0.0        0.0        0.0        1754437676.5634747
0.0        0.0        0.0        0.0        1754437676.569519
0.0        0.0        0.0        0.0        1754437676.5714803
0.0        0.0        0.0        0.0        1754437676.5734794
0.0        0.0        0.0        0.0        1754437676.5746117
0.0        0.0        0.0        0.0        1754437676.575702
0.0        0.0        0.0        0.0        1754437676.5762808
0.0        0.0        0.0        0.0        1754437676.578048
0.0        0.0        0.0        0.0        1754437676.5792
0.0        0.0        0.0        0.0        1754437676.5818977
0.0        0.0        0.0        0.0        1754437676.588253
0.0        0.0        0.0        0.0        1754437676.5902233
0.0        0.0        0.0        0.0        1754437676.5912783
0.0        0.0        0.0        0.0        1754437676.5919106
0.0        0.0        0.0        0.0        1754437676.5930388
0.0        0.0        0.0        0.0        1754437676.5935862
0.0        0.0        0.0        0.0        1754437676.5946724
0.0        0.0        0.0        0.0        1754437676.595237
0.0        0.0        0.0        0.0        1754437676.5957696
0.0        0.0        0.0        0.0        1754437676.5963073
0.0        0.0        0.0        0.0        1754437676.5975463
0.0        0.0        0.0        0.0        1754437676.6052148
0.0        0.0        0.0        0.0        1754437676.6071875
0.0        0.0        0.0        0.0        1754437676.6081846
0.0        0.0        0.0        0.0        1754437676.6092188
0.0        0.0        0.0        0.0        1754437676.6101842
0.0        0.0        0.0        0.0        1754437676.611189
0.0        0.0        0.0        0.0        1754437676.6121838
0.0        0.0        0.0        0.0        1754437676.6131804
0.0        0.0        0.0        0.0        1754437676.616214
0.0        0.0        0.0        0.0        1754437676.6222062
0.0        0.0        0.0        0.0        1754437676.6241877
0.0        0.0        0.0        0.0        1754437676.6251857
0.0        0.0        0.0        0.0        1754437676.6261823
0.0        0.0        0.0        0.0        1754437676.6271858
0.0        0.0        0.0        0.0        1754437676.6281848
0.0        0.0        0.0        0.0        1754437676.6281848
0.0        0.0        0.0        0.0        1754437676.6291833
0.0        0.0        0.0        0.0        1754437676.6301847
0.0        0.0        0.0        0.0        1754437676.635207
0.0        0.0        0.0        0.0        1754437676.6392035
0.0        0.0        0.0        0.0        1754437676.6411872
0.0        0.0        0.0        0.0        1754437676.6421907
0.0        0.0        0.0        0.0        1754437676.644185
0.0        0.0        0.0        0.0        1754437676.6451836
0.0        0.0        0.0        0.0        1754437676.6461866
0.0        0.0        0.0        0.0        1754437676.649216
0.0        0.0        0.0        0.0        1754437676.6541853
0.0        0.0        0.0        0.0        1754437676.6561863
0.0        0.0        0.0        0.0        1754437676.6581862
0.0        0.0        0.0        0.0        1754437676.66119
0.0        0.0        0.0        0.0        1754437676.6621828
0.0        0.0        0.0        0.0        1754437676.6642232
0.0        0.0        0.0        0.0        1754437676.6702285
0.0        0.0        0.0        0.0        1754437676.6721828
0.0        0.0        0.0        0.0        1754437676.6731954
0.0        0.0        0.0        0.0        1754437676.674184
0.0        0.0        0.0        0.0        1754437676.675183
0.0        0.0        0.0        0.0        1754437676.6761832
0.0        0.0        0.0        0.0        1754437676.6761832
0.0        0.0        0.0        0.0        1754437676.677184
0.0        0.0        0.0        0.0        1754437676.679184
0.0        0.0        0.0        0.0        1754437676.6801815
0.0        0.0        0.0        0.0        1754437676.6872282
0.0        0.0        0.0        0.0        1754437676.6901846
0.0        0.0        0.0        0.0        1754437676.6901846
0.0        0.0        0.0        0.0        1754437676.6911862
0.0        0.0        0.0        0.0        1754437676.6921902
0.0        0.0        0.0        0.0        1754437676.69394
0.0        0.0        0.0        0.0        1754437676.6950636
0.0        0.0        0.0        0.0        1754437676.6960778
0.0        0.0        0.0        0.0        1754437676.6987164
0.0        0.0        0.0        0.0        1754437676.7055244
0.0        0.0        0.0        0.0        1754437676.706605
0.0        0.0        0.0        0.0        1754437676.7082639
0.0        0.0        0.0        0.0        1754437676.7113943
0.0        0.0        0.0        0.0        1754437676.712501
0.0        0.0        0.0        0.0        1754437676.7179222
0.0        0.0        0.0        0.0        1754437676.7223513
0.0        0.0        0.0        0.0        1754437676.7234373
0.0        0.0        0.0        0.0        1754437676.7257771
0.0        0.0        0.0        0.0        1754437676.7276595
0.0        0.0        0.0        0.0        1754437676.7290435
0.0        0.0        0.0        0.0        1754437676.7339497
0.0        0.0        0.0        0.0        1754437676.7383132
0.0        0.0        0.0        0.0        1754437676.739843
0.0        0.0        0.0        0.0        1754437676.7409017
0.0        0.0        0.0        0.0        1754437676.7409017
0.0        0.0        0.0        0.0        1754437676.7419114
0.0        0.0        0.0        0.0        1754437676.7429152
0.0        0.0        0.0        0.0        1754437676.7439098
0.0        0.0        0.0        0.0        1754437676.7439098
0.0        0.0        0.0        0.0        1754437676.7449138
0.0        0.0        0.0        0.0        1754437676.7456808
0.0        0.0        0.0        0.0        1754437676.7462249
0.0        0.0        0.0        0.0        1754437676.7467334
0.0        0.0        0.0        0.0        1754437676.753763
0.0        0.0        0.0        0.0        1754437676.755744
0.0        0.0        0.0        0.0        1754437676.755744
0.0        0.0        0.0        0.0        1754437676.7567432
0.0        0.0        0.0        0.0        1754437676.7577493
0.0        0.0        0.0        0.0        1754437676.7589962
0.0        0.0        0.0        0.0        1754437676.7608013
0.0        0.0        0.0        0.0        1754437676.7618906
0.0        0.0        0.0        0.0        1754437676.7624364
0.0        0.0        0.0        0.0        1754437676.7629833
0.0        0.0        0.0        0.0        1754437676.7635224
0.0        0.0        0.0        0.0        1754437676.7674575
0.0        0.0        0.0        0.0        1754437676.7711575
0.0        0.0        0.0        0.0        1754437676.7722754
0.0        0.0        0.0        0.0        1754437676.7728004
0.0        0.0        0.0        0.0        1754437676.773351
0.0        0.0        0.0        0.0        1754437676.774326
0.0        0.0        0.0        0.0        1754437676.774326
0.0        0.0        0.0        0.0        1754437676.7753205
0.0        0.0        0.0        0.0        1754437676.7763216
0.0        0.0        0.0        0.0        1754437676.7763216
0.0        0.0        0.0        0.0        1754437676.7781212
0.0        0.0        0.0        0.0        1754437676.7781212
0.0        0.0        0.0        0.0        1754437676.7781212
0.0        0.0        0.0        0.0        1754437676.7791164
0.0        0.0        0.0        0.0        1754437676.7791164
0.0        0.0        0.0        0.0        1754437676.782133
0.0        0.0        0.0        0.0        1754437676.787133
0.0        0.0        0.0        0.0        1754437676.7901204
0.0        0.0        0.0        0.0        1754437676.7921226
0.0        0.0        0.0        0.0        1754437676.7921226
0.0        0.0        0.0        0.0        1754437676.7931175
0.0        0.0        0.0        0.0        1754437676.7941246
0.0        0.0        0.0        0.0        1754437676.796122
0.0        0.0        0.0        0.0        1754437676.7991755
0.0        0.0        0.0        0.0        1754437676.804376
0.0        0.0        0.0        0.0        1754437676.806744
0.0        0.0        0.0        0.0        1754437676.8072953
0.0        0.0        0.0        0.0        1754437676.8083942
0.0        0.0        0.0        0.0        1754437676.810076
0.0        0.0        0.0        0.0        1754437676.8122056
0.0        0.0        0.0        0.0        1754437676.8133073
0.0        0.0        0.0        0.0        1754437676.819037
0.0        0.0        0.0        0.0        1754437676.82154
0.0        0.0        0.0        0.0        1754437676.8225982
0.0        0.0        0.0        0.0        1754437676.823991
0.0        0.0        0.0        0.0        1754437676.8250558
0.0        0.0        0.0        0.0        1754437676.8255718
0.0        0.0        0.0        0.0        1754437676.8265736
0.0        0.0        0.0        0.0        1754437676.8275754
0.0        0.0        0.0        0.0        1754437676.828575
0.0        0.0        0.0        0.0        1754437676.8295715
0.0        0.0        0.0        0.0        1754437676.8295715
0.0        0.0        0.0        0.0        1754437676.833362
0.0        0.0        0.0        0.0        1754437676.8376575
0.0        0.0        0.0        0.0        1754437676.8398533
0.0        0.0        0.0        0.0        1754437676.8403957
0.0        0.0        0.0        0.0        1754437676.8409371
0.0        0.0        0.0        0.0        1754437676.842038
0.0        0.0        0.0        0.0        1754437676.842581
0.0        0.0        0.0        0.0        1754437676.843755
0.0        0.0        0.0        0.0        1754437676.8453672
0.0        0.0        0.0        0.0        1754437676.8464274
0.0        0.0        0.0        0.0        1754437676.8499606
0.0        0.0        0.0        0.0        1754437676.8529923
0.0        0.0        0.0        0.0        1754437676.8549535
0.0        0.0        0.0        0.0        1754437676.8561773
0.0        0.0        0.0        0.0        1754437676.8569705
0.0        0.0        0.0        0.0        1754437676.8575225
0.0        0.0        0.0        0.0        1754437676.859113
0.0        0.0        0.0        0.0        1754437676.8610957
0.0        0.0        0.0        0.0        1754437676.863093
0.0        0.0        0.0        0.0        1754437676.86673
0.0        0.0        0.0        0.0        1754437676.8704886
0.0        0.0        0.0        0.0        1754437676.873504
0.0        0.0        0.0        0.0        1754437676.874047
0.0        0.0        0.0        0.0        1754437676.875856
0.0        0.0        0.0        0.0        1754437676.8770602
0.0        0.0        0.0        0.0        1754437676.8787107
0.0        0.0        0.0        0.0        1754437676.8792937
0.0        0.0        0.0        0.0        1754437676.8798258
0.0        0.0        0.0        0.0        1754437676.8826902
0.0        0.0        0.0        0.0        1754437676.8870409
0.0        0.0        0.0        0.0        1754437676.890103
0.0        0.0        0.0        0.0        1754437676.8912416
